isFake,userBiographyLength,userFollowerCount,userFollowingCount,userHasProfilPic,userIsPrivate,userMediaCount,usernameDigitCount,usernameLength
1,0,151,1975,0,1,0,4,9
1,0,12,25,0,0,0,0,9
1,0,1338,3364,0,1,0,0,10
1,0,401,3796,0,0,0,3,10
1,0,228,1779,0,0,0,10,11
1,0,1127,3758,1,1,3,6,9
1,0,0,0,0,0,0,4,10
1,90,1,0,1,0,9,1,19
1,59,1,1,1,0,7,4,15
1,138,0,25,1,0,6,0,10
1,52,0,0,1,0,6,3,7
1,92,0,1,1,0,9,1,15
1,60,1,0,1,0,5,1,13
1,108,0,0,1,0,6,2,10
